City_ID,City,Country,Date,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Abomey,BJ,2023-04-22 14:01:45,7.1829,1.9912,91.24,91.24,49,100,7.45,overcast clouds
258,Saveh,IR,2023-04-22 14:01:45,35.0213,50.3566,80.94,80.94,17,32,14.29,scattered clouds
259,Chumikan,RU,2023-04-22 14:01:46,54.7183,135.315,28.74,28.74,99,100,1.86,overcast clouds
260,Akhtanizovskaya,RU,2023-04-22 14:01:46,45.32,37.1,54.07,53.49,83,97,8.55,light rain
261,Muros,ES,2023-04-22 14:01:46,42.7762,-9.0603,65.84,65.84,63,24,16.87,few clouds
262,Floro,NO,2023-04-22 14:01:46,61.5996,5.0328,64.47,50.97,51,0,9.22,clear sky
263,Korla,CN,2023-04-22 14:01:46,41.7597,86.1469,55.8,55.8,47,100,8.05,overcast clouds
264,Rocha,UY,2023-04-22 13:57:26,-34.4833,-54.3333,72.16,72.16,45,99,1.68,overcast clouds
265,Xuddur,SO,2023-04-22 14:01:46,4.1213,43.8894,76.03,76.03,80,100,5.7,overcast clouds
266,Dapaong,TG,2023-04-22 13:57:38,10.8639,0.205,103.21,103.21,20,2,5.53,clear sky
267,Savannah Bight,HN,2023-04-22 14:01:46,16.45,-85.85,78.69,78.69,78,12,14.61,few clouds
268,Cabo San Lucas,MX,2023-04-22 13:54:15,22.8909,-109.9124,73.71,72.52,46,40,4.61,scattered clouds
269,Komsomolskiy,UZ,2023-04-22 14:01:47,40.4272,71.7189,74.12,74.12,18,9,4.61,clear sky
270,Mindelo,CV,2023-04-22 14:01:47,16.8901,-24.9804,78.35,78.35,47,20,24.16,few clouds
271,Khandyga,RU,2023-04-22 14:01:47,62.6667,135.6,24.3,24.3,97,99,4.12,overcast clouds
272,Refojos De Basto,PT,2023-04-22 14:01:47,41.5132,-7.9952,64.02,61.68,47,15,11.88,few clouds
273,Santa Barbara,US,2023-04-22 13:58:44,34.7333,-120.0343,55.36,45.16,93,0,0.0,clear sky
274,Port-Gentil,GA,2023-04-22 14:01:47,-0.7193,8.7815,83.1,83.1,72,59,7.34,broken clouds
275,Denpasar,ID,2023-04-22 13:57:54,-8.65,115.2167,82.06,81.72,83,20,11.5,few clouds
276,Kahului,US,2023-04-22 14:02:47,20.8947,-156.47,72.84,69.31,90,22,1.99,few clouds
277,Labuhan,ID,2023-04-22 14:02:48,-6.8844,112.2051,80.49,80.49,86,100,9.01,overcast clouds
278,Chickasha,US,2023-04-22 14:00:17,35.0526,-97.9364,48.36,45.75,49,100,20.71,overcast clouds
279,Fort Saint James,CA,2023-04-22 14:02:48,54.4333,-124.25,33.84,33.84,100,100,2.44,light snow
280,Salta,AR,2023-04-22 13:59:07,-24.7859,-65.4117,64.99,63.57,88,75,3.44,broken clouds
281,Moree,AU,2023-04-22 14:00:13,-29.4667,149.85,61.16,61.16,54,0,9.35,clear sky
282,Bang Saphan,TH,2023-04-22 14:02:48,11.2126,99.5117,81.57,81.57,86,5,3.47,clear sky
283,Havelock,US,2023-04-22 14:02:48,34.8791,-76.9013,75.18,69.94,66,100,10.0,overcast clouds
284,Ponta Do Sol,PT,2023-04-22 14:02:48,32.6667,-17.1,70.43,67.12,71,98,0.56,overcast clouds
285,Krasnoselkup,RU,2023-04-22 14:02:48,65.7,82.4667,34.25,34.25,99,100,15.01,overcast clouds
286,Galesong,ID,2023-04-22 14:02:48,-5.3166,119.3661,80.62,80.62,83,100,5.64,overcast clouds
287,Chicama,PE,2023-04-22 14:02:49,-7.8447,-79.1469,72.14,72.14,71,92,4.68,overcast clouds
288,Tianpeng,CN,2023-04-22 14:02:49,30.9866,103.9393,64.87,64.87,85,100,4.25,overcast clouds
289,Dharchula,IN,2023-04-22 14:02:49,29.85,80.5333,62.37,62.37,39,65,6.82,broken clouds
290,Saldanha,ZA,2023-04-22 14:02:49,-33.0117,17.9442,59.05,59.05,77,100,19.53,overcast clouds
291,Samarai,PG,2023-04-22 14:02:49,-10.6167,150.6667,81.36,81.36,81,67,10.8,broken clouds
292,Moron,AR,2023-04-22 14:02:49,-34.6534,-58.6198,71.96,66.09,48,92,4.03,overcast clouds
293,Namibe,AO,2023-04-22 14:02:49,-15.1961,12.1522,81.36,81.36,72,90,8.72,overcast clouds
294,Wahiawa,US,2023-04-22 14:02:49,21.5028,-158.0236,71.76,68.22,87,0,4.03,clear sky
295,Kinablangan,PH,2023-04-22 14:02:49,7.6947,126.5503,79.65,79.65,82,91,1.48,overcast clouds
296,Iqaluit,CA,2023-04-22 14:00:15,63.7506,-68.5145,31.73,31.69,93,100,21.85,light snow
297,Kichera,RU,2023-04-22 14:02:50,55.9375,110.0997,22.64,22.64,95,99,1.3,light snow
298,Devonport,AU,2023-04-22 14:02:50,-41.1667,146.35,57.02,55.53,90,8,9.78,clear sky
299,Portland,US,2023-04-22 14:00:26,45.5234,-122.6762,51.51,46.31,93,100,5.75,mist
300,Kostek,RU,2023-04-22 14:02:50,43.3439,46.8541,62.4,62.4,59,0,16.53,clear sky
301,Fayaoue,NC,2023-04-22 14:02:50,-20.65,166.5333,79.65,79.65,76,9,12.37,clear sky
302,Dobson,US,2023-04-22 14:02:50,36.3957,-80.7226,57.45,54.18,98,100,6.17,light rain
