,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
531,Sokolo,ML,80.65,broken clouds,14.7328,-6.1219,Mairie de la Commune de Sokolo
532,Bairiki,KI,84.87,overcast clouds,1.3292,172.9752,Marry's Motel
539,Marigot,MF,77.04,light rain,18.0667,-63.0833,Centr' Hotel
540,Vanimo,PG,78.53,overcast clouds,-2.6741,141.3028,CBC Guesthouse
541,Celestun,MX,75.69,scattered clouds,20.8667,-90.4,Hotel Flamingo Playa
543,Dubbo,AU,82.53,scattered clouds,-32.25,148.6167,Blue Gum Motel
548,Puerto Baquerizo Moreno,EC,76.8,broken clouds,-0.9,-89.6,Dory's House
549,Ulladulla,AU,77.77,broken clouds,-35.35,150.4667,Hotel Marlin
551,Bundaberg,AU,80.22,scattered clouds,-24.85,152.35,Young Australian Hotel
554,Clarence Town,AU,80.51,light rain,-32.5833,151.7833,Erringhi Hotel
555,Puerto Maldonado,PE,74.03,overcast clouds,-12.6,-69.1833,Puerto Palmeras
564,Mabaruma,GY,70.39,clear sky,8.2,-59.7833,Monty Brooms Hotel
566,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,The Adventures Inn
574,Nabire,ID,79.56,overcast clouds,-3.3667,135.4833,Hotel Anggrek
578,Den Chai,TH,81.05,broken clouds,17.9837,100.0522,Den Chai
581,Maragogi,BR,84.65,scattered clouds,-9.0122,-35.2225,Pousada Mariluz
585,Salinopolis,BR,81.1,scattered clouds,-0.6136,-47.3561,Hotel Salinópolis
586,Matara,LK,81.7,broken clouds,5.9485,80.5353,Villa Palm Breeze
597,Nagua,DO,73.45,light rain,19.3832,-69.8474,hotel central
600,La Asuncion,VE,76.73,few clouds,11.0333,-63.8628,Hotel La Ciudad
611,Sao Francisco,BR,72.88,overcast clouds,-15.9486,-44.8644,Hotel Atalaia
612,Ca Mau,VN,79.81,scattered clouds,9.1769,105.15,Khách sạn Song Ngọc
615,Chabahar,IR,75.83,few clouds,25.2919,60.643,هتل سپیده
622,Port Hedland,AU,84.25,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
632,Graaff-Reinet,ZA,87.93,clear sky,-32.2522,24.5308,Profcon Resort
633,Bowen,AU,82.74,overcast clouds,-20.0167,148.2333,Whitsunday Sands Resort
658,Natal,BR,84.85,broken clouds,-5.795,-35.2094,Natal Palace Hotel
663,Karratha,AU,83.35,overcast clouds,-20.7377,116.8463,Karratha International Hotel
667,Port Augusta,AU,86.56,overcast clouds,-32.5,137.7667,Hotel Commonwealth
676,Kendari,ID,77.74,overcast clouds,-3.945,122.4989,City Hotel Kendari
679,Formosa Do Rio Preto,BR,73.85,overcast clouds,-11.0483,-45.1931,Pousada Universo - Formosa do Rio Preto BA
686,Sao Jose Da Coroa Grande,BR,84.09,scattered clouds,-8.8978,-35.1478,Hotel do Sol
693,Kabare,CD,72.27,moderate rain,-2.4683,28.8242,Panorama Hotel
696,Cayenne,GF,80.64,clear sky,4.9333,-52.3333,Central Hôtel
698,Vieux-Habitants,GP,78.37,broken clouds,16.0589,-61.7659,"Gîtes ""Les Cocotiers"""
699,Lilongwe,MW,74.3,overcast clouds,-13.9669,33.7873,Woodlands Lilongwe
700,Lethem,GY,74.88,scattered clouds,3.3803,-59.7968,Hotel Amazonas
701,Luanda,AO,87.8,few clouds,-8.8368,13.2343,Hotel Forum
708,Batemans Bay,AU,74.5,scattered clouds,-35.7167,150.1833,Esplanade Hotel
715,Rawson,AR,73.94,scattered clouds,-43.3002,-65.1023,Hotel Deportivo
718,Alta Floresta,BR,73.02,overcast clouds,-9.8756,-56.0861,Villas Hotel
720,Boa Vista,BR,76.98,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
